材料,壁厚,料筒温度,注射压力,保压时间,模具温度,质量
PC,1.4,244.2,126.8,6.5,28.9,飞边
PC,3.7,241.9,124.6,26.5,77.6,飞边
ABS,3.1,233.0,98.6,13.4,39.4,短射
PP,3.1,214.9,103.9,17.2,39.0,无
PC,3.9,235.5,132.9,24.7,33.4,飞边
PC,3.4,210.3,113.4,12.4,30.7,短射
PP,3.8,255.9,79.2,29.9,77.9,翘曲
PP,1.4,205.5,120.9,20.3,58.4,飞边
PP,3.8,191.3,114.5,10.9,78.9,翘曲
PP,2.8,257.0,122.2,21.8,63.8,飞边
ABS,2.2,201.2,65.0,6.7,35.4,短射
PP,3.1,183.9,83.8,15.5,30.0,短射
ABS,2.4,210.3,94.6,7.5,48.8,短射
PC,2.9,235.0,56.3,6.8,70.7,翘曲
ABS,0.9,200.9,50.5,13.5,73.3,短射
PP,3.1,223.8,129.8,7.3,55.6,飞边
PC,3.7,236.4,83.1,21.3,56.4,无
ABS,1.3,188.1,60.6,9.7,61.8,短射
PC,3.8,223.2,106.1,12.4,25.8,短射
ABS,2.6,247.2,55.4,14.0,45.7,无
ABS,3.4,230.0,88.0,7.4,32.4,短射
PC,1.7,186.6,124.4,12.7,43.8,短射
ABS,3.7,201.2,104.2,14.7,42.3,短射
ABS,2.0,215.7,66.3,16.6,33.6,短射
ABS,2.6,192.1,109.6,7.4,60.1,短射
PC,2.1,240.5,62.8,6.5,43.2,缩水
PC,2.1,222.8,126.7,16.9,72.9,飞边
ABS,1.8,211.6,125.4,5.9,54.3,飞边
PC,3.4,234.2,102.0,8.0,65.4,无
PP,3.8,193.4,61.2,9.8,22.6,短射
PP,4.0,214.8,139.7,20.7,70.0,短射
ABS,1.8,238.2,120.7,7.2,53.4,飞边
PC,1.8,202.1,85.8,26.8,67.2,短射
PC,2.7,242.5,51.3,8.7,54.0,缩水
PC,3.2,255.2,132.5,19.1,26.1,飞边
ABS,3.6,250.4,127.8,11.6,59.3,飞边
PC,2.7,183.0,67.5,8.6,56.5,短射
PC,2.1,211.7,127.9,22.3,23.0,飞边
ABS,3.7,251.8,42.0,25.4,38.2,无
ABS,3.5,248.7,108.5,29.3,33.7,无
ABS,3.9,215.4,122.6,11.7,45.0,短射
PC,1.1,215.3,131.3,15.2,49.1,飞边
PC,3.6,245.7,91.5,9.0,38.7,缩水
PC,2.1,242.4,92.4,19.2,30.4,无
PP,3.5,200.0,85.6,28.0,62.3,短射
ABS,2.0,217.1,79.7,28.1,60.9,短射
PP,2.0,227.5,57.8,26.8,55.2,无
ABS,1.9,247.0,65.9,25.8,25.4,无
PP,2.0,193.0,97.2,29.1,71.4,翘曲
PC,1.5,196.5,105.2,17.8,71.9,短射
PC,0.8,252.9,104.7,20.0,20.5,飞边
ABS,2.7,255.4,111.3,22.7,36.5,无
ABS,3.5,216.7,61.8,12.6,51.2,短射
PC,2.1,188.2,91.2,21.6,70.6,短射
ABS,2.6,227.5,68.3,22.1,48.9,无
ABS,4.0,231.2,126.1,11.5,62.7,短射
PC,1.8,192.0,116.5,27.5,68.3,飞边
PC,2.1,205.6,54.0,5.6,49.8,短射
ABS,1.6,213.5,78.8,5.9,62.5,短射
PC,3.4,207.5,111.3,22.2,58.3,短射
ABS,3.7,233.7,90.7,26.1,70.4,翘曲
PC,1.4,187.8,52.8,11.5,68.5,短射
PP,3.8,252.0,105.4,10.6,33.4,缩水
ABS,2.1,250.9,77.2,19.6,47.8,无
PP,2.3,249.3,98.4,28.6,24.3,飞边
PP,2.4,249.4,78.2,12.5,23.2,缩水
PP,1.2,196.0,80.9,19.2,74.4,翘曲
ABS,1.3,249.0,58.0,7.0,40.0,缩水
PP,1.8,184.6,85.2,10.2,66.4,短射
PC,3.2,219.2,116.4,7.2,56.9,短射
PC,2.2,214.3,87.7,5.1,52.0,短射
PC,2.0,181.1,72.2,25.8,31.4,短射
PC,0.8,238.7,62.6,26.9,38.7,无
PP,2.0,227.1,56.7,25.6,37.9,无
ABS,2.3,221.6,92.4,15.8,61.2,短射
PP,1.9,252.1,75.9,9.7,76.9,翘曲
ABS,0.9,197.9,138.5,10.3,21.3,飞边
PC,1.3,209.3,105.1,5.9,72.6,飞边
ABS,3.3,229.9,99.4,6.2,26.5,短射
PP,1.0,189.3,84.4,8.1,35.2,短射
PC,1.3,235.6,103.0,12.5,59.7,飞边
PC,2.5,229.8,110.1,15.5,73.9,翘曲
PC,3.1,189.4,51.4,7.7,31.9,短射
PP,3.3,246.5,137.3,13.9,44.6,飞边
PP,0.9,219.7,60.8,28.3,39.8,无
PP,0.8,187.1,51.0,19.4,49.6,短射
PP,3.3,186.0,112.4,27.6,58.7,短射
ABS,4.0,203.7,86.4,7.5,30.5,短射
PP,3.5,208.8,107.7,15.6,27.0,短射
PP,0.8,191.1,104.7,13.2,73.7,飞边
PC,1.7,238.6,77.3,13.6,26.8,无
ABS,3.9,201.7,78.6,26.3,68.0,短射
PC,3.6,193.3,53.3,23.2,78.9,短射
PP,1.1,252.9,88.3,19.2,46.3,飞边
PC,2.0,208.7,42.9,22.1,70.3,短射
PP,2.3,219.0,128.8,16.0,23.8,飞边
PC,1.8,236.4,107.8,24.2,54.6,飞边
PC,1.5,256.5,127.3,18.0,61.3,飞边
PC,1.1,232.9,64.9,13.6,60.6,无
ABS,1.3,246.1,129.2,20.3,20.7,飞边
PP,2.4,217.5,89.6,9.1,65.1,翘曲
ABS,1.6,257.6,45.0,10.6,58.6,无
ABS,3.4,186.3,84.4,19.3,25.3,短射
ABS,2.2,189.5,89.7,21.3,26.2,短射
ABS,0.9,223.9,122.6,24.8,77.8,飞边
PC,1.8,220.7,60.7,21.8,77.0,翘曲
ABS,3.4,245.3,124.4,13.3,66.0,飞边
PC,2.3,232.6,111.6,7.9,65.6,飞边
PP,0.8,208.4,103.4,25.0,52.9,飞边
ABS,3.0,183.7,56.4,8.5,63.0,短射
PC,2.1,200.3,59.6,8.0,71.1,短射
PP,2.3,242.5,111.7,7.7,44.9,缩水
PC,3.5,227.1,117.2,16.3,59.5,飞边
PC,1.2,219.9,93.0,6.2,76.1,飞边
PC,2.3,220.7,132.1,9.4,54.7,飞边
PC,3.4,188.3,105.8,20.2,39.3,短射
ABS,2.1,228.7,109.3,11.2,43.9,飞边
ABS,3.9,216.2,53.3,15.3,62.0,短射
PC,2.4,247.4,94.8,12.8,64.2,无
PC,2.8,196.1,102.4,12.3,40.7,短射
PC,1.2,236.8,137.5,9.4,52.5,飞边
PC,1.8,189.2,75.2,17.0,54.2,短射
PC,3.1,233.9,129.4,18.3,72.6,飞边
ABS,3.4,221.8,42.5,8.6,60.2,短射
PP,1.7,242.8,138.4,22.1,28.8,飞边
PP,3.0,203.6,115.4,5.8,68.8,缩水
PP,2.8,234.0,96.2,10.6,58.8,翘曲
ABS,1.6,242.7,119.9,12.2,59.9,飞边
ABS,2.0,256.5,137.6,12.8,53.1,飞边
PP,3.2,196.2,126.9,26.5,46.6,短射
PP,3.7,236.4,104.8,23.9,52.8,无
PC,1.4,238.0,59.3,16.2,79.0,翘曲
PP,1.4,193.9,91.4,14.4,45.7,飞边
PC,1.6,192.9,124.6,5.1,48.0,飞边
PP,0.9,254.3,99.7,24.3,57.5,飞边
PC,1.8,243.2,95.0,6.8,62.5,缩水
PC,1.5,194.7,46.8,17.6,45.0,短射
PC,2.1,208.0,128.3,21.6,39.9,飞边
ABS,1.5,240.2,93.0,29.9,69.4,翘曲
PC,0.8,233.5,84.6,27.6,56.8,飞边
PC,1.6,183.2,128.6,14.5,67.8,飞边
PP,2.0,223.2,68.3,27.8,69.3,翘曲
ABS,2.4,220.7,88.7,12.4,59.1,短射
ABS,2.4,255.9,56.7,28.9,52.3,无
PP,2.8,196.9,103.0,10.3,61.1,短射
PP,1.5,246.3,127.9,23.5,46.1,飞边
PP,3.2,192.3,85.9,13.3,25.3,短射
PP,1.4,200.2,47.0,25.5,74.7,翘曲
ABS,2.0,230.4,83.3,5.4,60.4,缩水
PC,0.8,237.6,46.3,23.6,22.7,无
PP,1.9,220.2,69.0,22.1,56.4,无
ABS,3.2,215.0,79.5,21.5,48.4,短射
PC,1.5,239.7,119.7,26.2,37.7,飞边
PC,1.3,234.2,131.4,24.9,63.8,飞边
ABS,3.9,180.9,127.5,8.5,22.5,短射
PC,2.7,223.0,134.7,12.6,64.9,飞边
PC,1.9,213.0,104.6,17.8,29.7,短射
PP,2.8,200.2,51.5,21.8,54.0,短射
PP,3.5,254.6,139.4,16.5,53.0,飞边
ABS,2.9,200.1,59.7,19.5,77.1,短射
ABS,1.2,232.4,50.0,20.5,74.0,翘曲
ABS,2.4,206.3,105.9,22.3,29.1,短射
PC,2.0,205.3,82.8,5.1,34.8,短射
PP,3.1,231.3,67.7,14.0,60.8,翘曲
ABS,3.6,217.0,75.9,12.6,53.1,短射
PP,2.9,186.6,68.1,25.7,73.5,短射
PP,1.6,250.9,47.6,6.9,21.1,缩水
PC,2.8,245.0,97.9,24.2,32.8,无
PP,2.6,223.5,139.9,16.8,66.5,飞边
ABS,2.1,251.3,99.0,26.4,28.0,飞边
PC,2.4,211.7,90.2,21.6,70.9,短射
PC,3.0,240.6,54.0,9.0,54.0,无
PC,2.9,257.4,113.6,17.1,41.5,无
PP,3.2,198.5,66.4,10.9,60.1,短射
PC,3.7,208.9,87.0,16.4,22.8,短射
PC,1.8,236.3,92.1,25.7,70.1,翘曲
ABS,2.7,225.6,77.7,14.5,55.3,短射
PP,2.5,210.1,130.7,17.9,41.2,飞边
ABS,2.4,218.6,100.4,17.5,28.3,短射
PP,1.5,221.2,68.1,8.8,29.4,缩水
PC,3.1,189.5,63.0,25.3,63.2,短射
ABS,3.0,218.3,99.1,21.2,44.7,短射
PP,0.9,225.9,56.1,20.7,22.4,无
PC,1.3,193.3,132.2,17.9,44.3,飞边
PC,2.8,250.3,112.8,25.5,76.8,翘曲
PP,2.2,259.4,126.7,9.3,69.8,飞边
PC,1.3,226.6,116.7,20.6,50.6,飞边
PP,3.1,207.4,85.3,19.8,33.8,短射
ABS,1.2,181.3,92.3,27.7,61.1,短射
PP,2.7,194.2,130.2,20.0,72.7,飞边
PC,2.4,189.4,88.2,8.3,56.2,短射
PP,3.7,242.0,104.9,18.1,42.2,缩水
PP,3.0,214.3,133.8,17.1,66.1,飞边
ABS,2.7,239.3,116.2,22.4,25.9,飞边
PP,1.6,241.3,131.0,7.1,55.9,飞边
PC,2.1,195.1,110.9,24.7,54.7,短射
PP,2.5,210.0,60.5,25.1,44.5,无
PP,1.3,232.1,65.4,26.4,45.4,无
ABS,2.8,259.3,79.7,10.1,53.1,无
PC,2.3,209.6,95.5,11.3,38.4,短射
ABS,3.3,211.9,53.8,26.6,27.1,短射
PP,2.2,235.9,56.2,10.4,44.0,缩水
ABS,3.4,229.1,108.5,6.3,43.3,缩水
PC,0.8,187.3,54.5,28.1,46.1,短射
PP,1.6,209.7,100.9,23.1,75.8,飞边
ABS,2.8,221.7,111.2,19.9,76.7,翘曲
PP,2.8,215.1,60.2,21.4,68.2,翘曲
ABS,1.4,242.7,91.1,22.5,56.9,飞边
PC,0.9,199.1,40.0,8.9,79.8,短射
ABS,1.9,211.6,98.6,17.9,64.2,飞边
PP,3.7,224.0,112.6,19.0,55.0,翘曲
ABS,3.9,202.1,100.6,9.9,75.8,短射
PC,0.8,194.0,90.6,19.0,50.2,飞边
ABS,3.8,244.2,135.7,26.9,68.8,飞边
PC,1.6,215.4,77.7,17.1,34.6,短射
ABS,3.9,216.7,86.1,19.7,21.6,短射
PP,1.6,210.6,118.9,10.5,62.1,飞边
ABS,2.1,208.2,93.6,22.5,35.8,短射
ABS,1.1,233.9,122.1,6.9,75.9,飞边
ABS,1.8,197.5,97.4,9.6,64.8,短射
PP,2.4,196.0,113.5,26.8,32.4,飞边
PP,3.5,246.9,75.6,24.5,27.2,无
PP,3.0,233.1,101.4,24.1,52.5,无
PP,3.5,209.7,71.5,27.5,72.9,短射
PC,3.6,219.3,138.4,27.9,36.8,飞边
PP,3.2,190.3,92.6,15.6,76.4,翘曲
PP,2.4,211.5,108.6,9.4,78.6,翘曲
PC,2.5,205.3,40.8,21.9,42.8,短射
PP,1.8,229.0,66.0,18.7,34.2,无
ABS,3.9,207.4,58.4,15.6,45.1,短射
ABS,2.0,212.0,85.1,19.3,78.8,翘曲
PC,1.5,188.0,67.0,10.9,45.9,短射
ABS,1.4,244.0,113.9,16.8,20.6,飞边
ABS,2.4,259.6,124.9,17.9,63.2,飞边
ABS,1.8,225.0,96.8,15.0,61.4,翘曲
PP,1.5,200.3,123.9,7.4,64.7,飞边
ABS,2.0,224.8,133.2,11.4,21.2,飞边
PP,1.9,234.4,100.6,19.4,59.0,翘曲
PC,1.4,242.4,75.5,21.8,49.2,无
PC,2.2,186.3,101.4,16.6,77.4,短射
PP,2.8,254.3,82.2,20.3,44.3,无
PP,1.1,207.5,71.3,21.3,62.6,翘曲
PC,2.9,201.7,84.5,26.6,41.8,短射
PC,2.5,216.0,56.7,26.4,27.5,短射
PP,2.9,255.2,110.1,7.0,30.0,飞边
PP,1.1,254.9,87.3,6.3,66.3,缩水
PC,3.2,186.7,66.2,8.9,59.3,短射
ABS,1.8,199.8,68.4,20.7,27.9,短射
PP,0.9,233.1,126.0,13.1,48.6,飞边
PC,3.8,223.9,53.5,28.7,52.4,短射
PC,2.7,230.5,103.6,19.1,51.4,飞边
PC,2.5,252.7,88.2,10.7,25.4,缩水
ABS,2.0,200.8,70.4,5.0,68.9,短射
PP,1.9,217.5,40.8,28.1,76.8,翘曲
ABS,1.8,241.3,119.8,19.9,67.8,飞边
PC,2.0,212.9,96.1,14.9,29.8,短射
PC,2.9,246.3,62.1,7.0,57.5,缩水
PC,3.2,252.8,120.8,22.1,37.1,飞边
PC,2.5,201.5,58.8,6.7,28.2,短射
PP,2.8,229.4,67.2,20.6,31.3,无
PP,1.3,257.6,42.2,29.3,36.9,无
PP,3.1,238.2,63.3,8.8,49.6,缩水
ABS,2.1,242.9,89.8,14.3,61.8,无
PP,1.9,247.5,135.2,6.4,66.5,飞边
PP,2.5,194.5,129.6,11.3,42.9,飞边
PP,1.2,241.5,64.9,24.3,46.6,无
PC,4.0,195.9,113.5,7.3,60.0,短射
PP,2.3,234.5,71.2,13.1,57.7,无
PP,3.2,224.0,52.2,17.0,37.9,无
ABS,3.6,249.1,61.8,7.8,58.0,缩水
ABS,0.8,243.6,98.5,14.9,34.6,飞边
PP,2.7,235.3,108.8,8.9,66.2,翘曲
PP,1.3,187.3,101.9,28.3,79.8,飞边
PC,1.0,208.4,55.4,18.4,26.4,短射
ABS,1.5,258.5,118.9,23.9,68.3,飞边
ABS,3.1,181.7,77.8,23.1,35.0,短射
PP,2.4,215.0,69.5,22.4,31.4,无
PP,2.5,205.9,86.8,26.7,55.9,短射
PC,1.3,222.5,84.9,25.5,52.5,飞边
ABS,0.8,231.0,77.9,9.6,21.1,飞边
ABS,3.3,199.1,112.1,21.5,52.3,短射
ABS,1.4,234.7,116.6,8.9,37.0,飞边
